date,open,high,low,close,volume
2025-09-09,498.27,499.09,494.57,495.27,14410500
2025-09-10,499.81,500.06,493.59,497.22,21611800
2025-09-11,499.09,500.00,494.75,497.86,18881600
2025-09-12,503.46,509.32,500.68,506.69,23624900
2025-09-15,505.59,512.23,503.81,512.12,17143800
2025-09-16,513.63,513.97,505.40,505.84,19711900
2025-09-17,507.41,508.07,502.75,506.81,15816600
2025-09-18,508.27,509.84,504.47,505.25,18913700
2025-09-19,507.35,516.03,507.10,514.67,52474100
2025-09-22,512.35,514.48,509.31,511.21,20009300
2025-09-23,510.57,511.35,504.12,506.03,19799600
2025-09-24,507.17,509.25,503.73,506.94,13533700
2025-09-25,505.10,506.80,501.86,503.84,15786500
2025-09-26,506.85,510.71,503.43,508.24,16213100
2025-09-29,508.28,513.60,505.68,511.36,17617800
2025-09-30,510.01,514.90,506.45,514.69,19728200
2025-10-01,511.56,517.23,508.47,516.44,22632300
2025-10-02,514.38,518.32,507.47,512.49,21222900
2025-10-03,513.85,517.21,511.76,514.09,15112300
2025-10-06,515.35,527.69,514.94,525.24,21388600
2025-10-07,524.97,526.47,518.16,520.68,14615200
2025-10-08,519.99,523.63,519.80,521.55,13363400
2025-10-09,519.05,521.03,514.14,519.11,18343600
2025-10-10,516.37,520.28,506.42,507.74,24133800
2025-10-13,513.16,513.16,508.46,510.81,14284200
2025-10-14,507.02,512.04,502.82,510.34,14684300
2025-10-15,511.72,513.94,506.79,510.20,14694700
2025-10-16,509.35,513.60,504.93,508.39,15559600
2025-10-17,505.84,512.24,504.12,510.35,19867800
2025-10-20,511.37,515.44,510.20,513.54,14665600
2025-10-21,514.24,515.43,509.81,514.40,15586200
2025-10-22,517.87,521.92,514.45,517.26,18962700
2025-10-23,519.17,520.65,515.35,517.28,14023500
2025-10-24,519.50,522.04,517.43,520.31,15532400
2025-10-27,528.43,531.22,525.68,528.17,18734700
2025-10-28,546.54,550.24,537.37,538.66,29986700
2025-10-29,541.51,542.83,533.35,538.14,36023000
2025-10-30,527.14,531.60,518.83,522.45,41023100
2025-10-31,525.55,525.99,511.86,514.55,34006400
2025-11-03,516.54,521.66,511.35,513.78,22374700
2025-11-04,508.54,512.31,504.64,511.09,20958700
2025-11-05,510.07,511.59,503.39,503.97,23024300
2025-11-06,502.48,502.52,492.69,493.97,27406500
2025-11-07,493.82,496.24,490.15,493.69,24019800
2025-11-10,496.89,503.66,495.66,502.82,26101500
2025-11-11,501.62,506.39,499.19,505.48,17980000
2025-11-12,506.15,508.45,495.98,507.92,26574900
